year,session,utt_id,status,semantic_equal,byte_equal,final_path,regenerated_path,final_sha256,regenerated_sha256
2020,SDRW2000000277,SDRW2000000277.1.1.385,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000277\SDRW2000000277.1.1.385.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000277\SDRW2000000277.1.1.385.TextGrid,4c770ee17febf9c957df9dbda0c85ce50df8ee609194379d2fae66d5418b7b0f,4c770ee17febf9c957df9dbda0c85ce50df8ee609194379d2fae66d5418b7b0f
2020,SDRW2000000272,SDRW2000000272.1.1.358,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000272\SDRW2000000272.1.1.358.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000272\SDRW2000000272.1.1.358.TextGrid,ef6cfcb8f7ade35084e543ec7b413ee163cc7e36d3c6c7752c1933a01ae61a60,ef6cfcb8f7ade35084e543ec7b413ee163cc7e36d3c6c7752c1933a01ae61a60
2020,SDRW2000000226,SDRW2000000226.1.1.53,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000226\SDRW2000000226.1.1.53.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000226\SDRW2000000226.1.1.53.TextGrid,ab8c442a4752e92027e25cb2aac7c296c3a2f2d9688226061cebae00f6cddede,ab8c442a4752e92027e25cb2aac7c296c3a2f2d9688226061cebae00f6cddede
2020,SDRW2000000087,SDRW2000000087.1.1.261,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000087\SDRW2000000087.1.1.261.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000087\SDRW2000000087.1.1.261.TextGrid,1d3dd61404852d2eaeae199231225327dd451c5b7a61c5fd7fb30096c2e76a4a,1d3dd61404852d2eaeae199231225327dd451c5b7a61c5fd7fb30096c2e76a4a
2020,SDRW2000000615,SDRW2000000615.1.1.203,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000615\SDRW2000000615.1.1.203.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000615\SDRW2000000615.1.1.203.TextGrid,213e3143f2fba227c7346746e13eb30c257ff76726387d3d3a4056bc2649bd61,213e3143f2fba227c7346746e13eb30c257ff76726387d3d3a4056bc2649bd61
2020,SDRW2000001747,SDRW2000001747.1.1.224,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000001747\SDRW2000001747.1.1.224.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000001747\SDRW2000001747.1.1.224.TextGrid,27440c9c6db1a9158a18baad574d8e0a5b145fafea29d9d96e7c620dbc7b41a9,27440c9c6db1a9158a18baad574d8e0a5b145fafea29d9d96e7c620dbc7b41a9
2020,SDRW2000000045,SDRW2000000045.1.1.56,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000000045\SDRW2000000045.1.1.56.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000000045\SDRW2000000045.1.1.56.TextGrid,86c8cde3924f8a03e089751aa467170d33b6ad237962540d425c8ce42270f0ba,86c8cde3924f8a03e089751aa467170d33b6ad237962540d425c8ce42270f0ba
2020,SDRW2000001814,SDRW2000001814.1.1.315,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000001814\SDRW2000001814.1.1.315.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000001814\SDRW2000001814.1.1.315.TextGrid,db7bd613e7136007dd501126cab814215636cf66f497b5f9ca7596ccad136b53,db7bd613e7136007dd501126cab814215636cf66f497b5f9ca7596ccad136b53
2020,SDRW2000001511,SDRW2000001511.1.1.156,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000001511\SDRW2000001511.1.1.156.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000001511\SDRW2000001511.1.1.156.TextGrid,774d7d43e8aba8aca6e50216ee960e7226dca735d07d1cf3c39e85c6528b8b6d,774d7d43e8aba8aca6e50216ee960e7226dca735d07d1cf3c39e85c6528b8b6d
2020,SDRW2000001649,SDRW2000001649.1.1.289,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2020\SDRW2000001649\SDRW2000001649.1.1.289.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2020\2020\SDRW2000001649\SDRW2000001649.1.1.289.TextGrid,9df1a4465330acb65718b318e86322dd3c558c6c4f701832933dbfe6d29dd68b,9df1a4465330acb65718b318e86322dd3c558c6c4f701832933dbfe6d29dd68b
